Field_Name,Table
A1SPINAE,AD1
A1CAUSE,AD1
A1DESCPT,AD1
A1AEPSP,AD1
A1AEBSP,AD1
AD1COMM,AD1
A1PISIGN,NONE
Y1DESCPT,AD1
A2SUMM,AD2
A2MEDHX,AD2
A2_01DNM,AD2
A2_01DIN,AD2
A2_02DNM,AD2
A2_02DIN,AD2
A2_03DNM,AD2
A2_03DIN,AD2
A2_04DNM,AD2
A2_04DIN,AD2
A2_05DNM,AD2
A2_05DIN,AD2
A2_06DNM,AD2
A2_06DIN,AD2
A2_07DNM,AD2
A2_07DIN,AD2
A2_08DNM,AD2
A2_08DIN,AD2
A2_09DNM,AD2
A2_09DIN,AD2
A2_10DNM,AD2
A2_10DIN,AD2
A2_1TNME,AD2
A2_1TIND,AD2
A2_2TNME,AD2
A2_2TIND,AD2
A2_3TNME,AD2
A2_3TIND,AD2
A2_4TNME,AD2
A2_4TIND,AD2
A2_5TNME,AD2
A2_5TIND,AD2
A2_1LBNM,AD2
A2_1LBIN,AD2
A2_2LBNM,AD2
A2_2LBIN,AD2
A2_3LBNM,AD2
A2_3LBIN,AD2
A2_4LBNM,AD2
A2_4LBIN,AD2
A2_5LBNM,AD2
A2_5LBIN,AD2
A2FOLLUP,AD2
A2ADDINF,AD2
A3ADDINF,AD3
A3ASRID,AD3
A3REVID,AD3
A3COMM,AD3
ARDRUG01,ARV
ARDRUG02,ARV
ARDRUG03,ARV
ARDRUG04,ARV
ARDRUG05,ARV
ARDRUG06,ARV
ARDRUG07,ARV
ARDRUG08,ARV
ARDRUG09,ARV
ARDRUG10,ARV
ARDRUG11,ARV
ARDRUG12,ARV
ARDRUG13,ARV
ARDRUG14,ARV
ARDRUG15,ARV
ARDRUG16,ARV
ARDRUG17,ARV
ARDRUG18,ARV
ARDRUG19,ARV
ARDRUG20,ARV
ARDRUG21,ARV
ARDRUG22,ARV
ARDRUG23,ARV
ARDRUG24,ARV
ARDRUG25,ARV
ARDRUG26,ARV
ARDRUG27,ARV
ARDRUG28,ARV
ARDRUG29,ARV
ARDRUG30,ARV
ARDRUG31,ARV
ARDRUG32,ARV
ARDRUG33,ARV
ARDRUG34,ARV
ARDRUG35,ARV
ARVCOMM,ARV
ADALACOM,ASD
ADALICOM,ASD
ADHERCOM,ASD
ADMDPCOM,ASD
ADMDICOM,ASD
ADOPICOM,ASD
ADBARCOM,ASD
ADSHTCOM,ASD
ADCOCCOM,ASD
ADAMPCOM,ASD
ADMETCOM,ASD
ADTHCCOM,ASD
ADHALCOM,ASD
ADINHCOM,ASD
ADGT1COM,ASD
ADMJDGCM,ASD
ADALDTCM,ASD
ADATRTCM,ASD
ADDTRTCM,ASD
ADADTXCM,ASD
ADDDTXCM,ASD
ADAMNYCM,ASD
ADDMNYCM,ASD
ADOPTCOM,ASD
ADAP30CM,ASD
ADAB30CM,ASD
ADAI30CM,ASD
ADDP30CM,ASD
ADDB30CM,ASD
ADDI30CM,ASD
ASDCOMM,ASD
AEEDCPCM,ASE
AETECPCM,ASE
AEDRVLCM,ASE
AEAUTOCM,ASE
AEJOBCM,ASE
AEOCCPSP,ASE
AEOCCPCM,ASE
AESUPPCM,ASE
AEUSEMCM,ASE
AEPAIDCM,ASE
