Field,QC_Comments,Review_Comments
A1DESCPT,Please confirm if this should be added to the DD or Removed from the QC File,
A1SEVRTY,Please confirm if this should be added to the DD or Removed from the QC File,
A1ALTESD,Please confirm if this should be added to the DD or Removed from the QC File,
A1AEPSP,Please confirm if this should be added to the DD or Removed from the QC File,
A1RESDT,Please confirm if this should be added to the DD or Removed from the QC File,
VERBATIM,Please confirm that this correctly should not be present in the Modified DD,
VERSION,Please confirm that this should not be present in the Modified DD,
PT,Please confirm that this should not be present in the Modified DD,
SOC,Please confirm that this should not be present in the Modified DD,
LLT,Please confirm that this should not be present in the Modified DD,
HLT,Please confirm that this should not be present in the Modified DD,
HLGT,Please confirm that this should not be present in the Modified DD,
ACCNO,Please confirm that this should not be present in the Modified DD,
COLLDATE,Please confirm that this should not be present in the Modified DD,
RECDATE,Please confirm that this should not be present in the Modified DD,
BUP,Please confirm that this should not be present in the Modified DD,
BUPMETA,Please confirm that this should not be present in the Modified DD,
COMMENT,Please confirm that this should not be present in the Modified DD,
RECDATE_NEW,Please confirm that this should not be present in the Modified DD,
BUP_NEW,Please confirm that this should not be present in the Modified DD,
BUPMETA_NEW,Please confirm that this should not be present in the Modified DD,
RandDt,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file (enroll),
STRATA,Please confirm that this should not be present in the Modified DD,
STRATA,Please confirm that this should not be present in the Modified DD,
strata,Please confirm that this should not be present in the Modified DD,
startdt,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file (enroll),
PXSASMDT,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXMEDEFT,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPTR,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELP,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPMD,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
PXHELPPS,This table is not present in the Modified DD. Please confirm if this table should be added to the Modified DD or if it should be removed from the QC file(PXS),
