Field,QC_Comments,Review_Comments
A1ALTSDG,Please confirm if this should be added to the DD or Removed from the QC File,
DEAGE,Please confirm if this should be added to the DD or Removed from the QC File,
DEAMIND,Please confirm if this should be added to the DD or Removed from the QC File,
DEPACIS,Please confirm if this should be added to the DD or Removed from the QC File,
R3OTHRSP,Please confirm if this should be added to the DD or Removed from the QC File,
R3OTHRSP,Please confirm if this should be added to the DD or Removed from the QC File,
YYSTOP,Please confirm if this should be added to the DD or Removed from the QC File,
LAGGT,Please confirm if this should be added to the DD or Removed from the QC File,
LAHCO3,Please confirm if this should be added to the DD or Removed from the QC File,
LAMICRPY,Please confirm if this should be added to the DD or Removed from the QC File,
LATHOMTM,Please confirm if this should be added to the DD or Removed from the QC File,
LAPTT,Please confirm if this should be removed from the DD or Added to the QC File,
LAEGFR,Please confirm if this should be removed from the DD or Added to the QC File,
MHPAIN6M,Please confirm if this should be removed from the DD or Added to the QC File,
PDPSCOMM,Please confirm if this should be removed from the DD or Added to the QC File,
YYPSFCH,Please confirm if this should be removed from the DD or Added to the QC File,
PSAGE,Please confirm if this should be removed from the DD or Added to the QC File,
SCR52ID,Please confirm if this should be removed from the DD or Added to the QC File,
PSXASMDT,Please confirm if this should be removed from the DD or Added to the QC File,
PSREFSOU,Please confirm if this should be removed from the DD or Added to the QC File,
PSRSOTSP,Please confirm if this should be removed from the DD or Added to the QC File,
PSELIGPS,Please confirm if this should be removed from the DD or Added to the QC File,
PSNOELIG,Please confirm if this should be removed from the DD or Added to the QC File,
PSPTPCON,Please confirm if this should be removed from the DD or Added to the QC File,
PSNOCONS,Please confirm if this should be removed from the DD or Added to the QC File,
PSNCOTSP,Please confirm if this should be removed from the DD or Added to the QC File,
PSXCOMM,Please confirm if this should be removed from the DD or Added to the QC File,
UDBZOAG2,Please confirm if this should be removed from the DD or Added to the QC File,
